episode,reward,steps,exploration_reward,decision_count
0,-449.17009066784607,412,2269,40
1,-318.18926955397546,375,2293,36
2,-263.51573149073147,303,2275,32
3,-467.86303598362423,222,2251,43
4,-294.24876015797065,320,2250,38
5,-470.21800493413394,417,2295,42
6,-91.41373833135563,1141,2279,40
7,-197.23095535785166,494,2261,37
8,-279.54209968347067,455,2266,47
9,-202.92821148150097,324,2289,24
10,-188.66238976709565,522,2257,51
11,-397.77116331037377,509,2265,49
12,-255.0957383413667,401,2291,32
13,-157.58489537282642,532,2250,26
14,-566.7506798756798,212,2256,38
15,-304.18380868420513,488,2288,36
16,-211.7533707777839,392,2252,34
17,-98.08335943527675,455,2251,30
18,-207.7276439937594,343,2286,35
19,-230.56273797886703,363,2255,38
20,-205.6976440084596,1238,2255,46
21,-138.8553192483827,854,2250,40
22,-378.3460140349846,258,2257,36
23,-279.0492063492063,412,2256,39
24,-205.23716113959696,673,2253,47
25,-182.9453477699206,663,2256,41
26,-492.46682893130264,363,2282,33
27,-352.40198728474587,268,2260,40
28,-353.4968317630083,190,2259,23
29,-129.59267969321988,984,2251,40
30,-535.7094017094017,343,2261,40
31,-204.86596825592332,547,2251,30
32,-201.5109068627451,487,2250,31
33,-315.3180370424032,284,2250,36
34,-361.8998567608861,151,2266,24
35,-207.71744083743712,1044,2293,42
36,-284.75712625758393,438,2261,45
37,-292.279296231937,426,2265,37
38,-268.9632627210949,741,2254,52
39,-270.2445549562311,447,2275,39
40,-144.98934640145953,1153,2262,48
41,-130.49223164497096,754,2253,32
42,-338.99950817156696,244,2286,36
43,-194.24784208842016,474,2257,42
44,-189.3622852226952,314,2253,31
45,-481.3160714285714,251,2267,33
46,-262.9102478023392,459,2255,44
47,-306.27136450506015,359,2286,31
48,-334.81522405222165,399,2252,45
49,-229.80429493751862,944,2260,55
50,-252.28746068117886,347,2259,31
51,-213.98103790505704,465,2286,32
52,-474.0514684108909,270,2255,33
53,-371.0322344538438,909,2256,48
54,-266.58304732331476,654,2267,34
55,-215.42390643583985,385,2251,28
56,-342.3249346405228,387,2250,40
57,-178.9952705640804,475,2260,51
58,-272.0284960633409,711,2275,44
59,-194.77582079613603,1011,2262,54
60,-289.4200609956446,330,2252,34
61,-167.45413932215814,782,2253,51
62,-220.25581444380822,680,2257,37
63,-287.37865845454854,257,2250,33
64,-107.94725639312374,1006,2287,62
65,-271.4786531279178,355,2263,45
66,-137.99495969290433,920,2253,33
67,-386.03430166324904,191,2257,23
68,-221.63601118483194,592,2278,43
69,-271.93289627039627,248,2259,32
70,-278.0844964031496,421,2262,41
71,-253.45019980019978,379,2256,36
72,-402.66313547563544,240,2252,42
73,-297.72708402708406,246,2257,37
74,-309.08637691598443,664,2272,41
75,-141.0331036685656,999,2252,51
76,-159.67700134235716,696,2250,34
77,-254.95567850622032,228,2253,24
78,-346.9777472527473,450,2257,36
79,-269.80108967829557,343,2252,27
80,-309.0998480225597,566,2288,49
81,-152.8820714775835,1417,2253,45
82,-247.94309022650128,493,2281,35
83,-402.1933347698053,453,2252,40
84,-531.8427993575052,261,2290,54
85,-286.7449735507011,413,2256,38
86,-207.29834381395483,825,2255,58
87,-420.0375763125762,287,2253,43
88,-373.58426633476114,498,2250,38
89,-416.7650489181179,270,2260,38
90,-247.18972549189937,397,2288,35
91,-201.01356592661514,388,2294,35
92,-368.3991650248616,431,2274,46
93,-442.9244110670143,500,2288,40
94,-132.56438325742837,770,2270,44
95,-283.33713707400597,492,2250,42
96,-360.6870823747472,626,2250,50
97,-396.78524531024533,299,2260,52
98,-240.58688838513007,329,2250,33
99,-118.04098954849327,780,2251,32
100,-383.7221957367903,480,2264,45
101,-300.4615608465609,642,2293,50
102,-89.54925129125449,1298,2255,45
103,-378.9416760264218,454,2265,45
104,-168.0712535014006,288,2263,28
105,-231.88678207757152,292,2260,33
106,-349.5438323753541,296,2255,34
107,-335.2308499867711,719,2263,46
108,-354.16007581170123,265,2288,39
109,-92.30350670804924,943,2250,41
110,-440.0329568981743,294,2252,39
111,-171.5014259971707,551,2287,32
112,-322.72841540830893,435,2275,41
113,-284.8890436055832,372,2251,39
114,-372.27545560154994,327,2261,35
115,-294.18118100845925,486,2293,37
116,-274.5185299281874,417,2251,37
117,-325.03186531390867,323,2255,34
118,-419.36037778129963,592,2260,59
119,-406.52002801120454,365,2287,43
120,-170.64386945265454,1122,2289,41
121,-418.1864510489511,264,2265,48
122,-357.6868921226292,342,2289,32
123,-124.92749077129702,992,2277,36
124,-290.15141378583985,445,2293,41
125,-262.80543182307895,359,2254,37
126,-248.87884927708453,448,2251,42
127,-313.54850288600295,518,2252,41
128,-239.65331219168425,719,2262,47
129,-265.64116634998993,285,2262,28
130,-263.2202847805789,336,2253,40
131,-267.11406224221906,438,2255,31
132,-537.7676767676768,253,2255,52
133,-212.70606028344105,358,2256,29
134,-227.25967725911917,437,2252,42
135,-248.3853577821225,371,2255,31
136,-359.6192488470393,366,2250,47
137,-258.49080270857723,479,2266,52
138,-177.36263045216714,366,2250,29
139,-220.78089405850315,467,2255,34
140,-310.25587745587745,416,2287,35
141,-207.66281233386493,367,2250,30
142,-230.3326374240655,336,2250,32
143,-192.02790449805997,445,2265,30
144,-196.2533716780607,751,2265,34
145,-202.7379989087306,443,2251,31
146,-288.16606682790894,372,2290,33
147,-546.733548804137,470,2293,49
148,-413.4775200989486,532,2290,42
149,-264.7335656042553,413,2261,40
150,-397.0184143222507,359,2289,37
151,-352.26625457875457,444,2289,39
152,-255.12330954300012,315,2264,27
153,-274.298075134584,521,2254,36
154,-195.2266515347398,554,2293,44
155,-323.34565045639226,495,2258,43
156,-278.5985842985844,341,2256,29
157,-524.2338785229107,509,2250,36
158,-202.06069696284905,450,2271,29
159,-223.90340007949285,360,2264,30
160,-200.24010229322013,487,2254,38
161,-307.89592740592735,254,2258,30
162,-190.9781558138664,454,2267,38
163,-213.28565415771297,602,2251,49
164,-299.25290891094664,496,2263,40
165,-271.5335567210568,171,2251,25
166,-226.2497513107807,252,2252,23
167,-289.3887085137085,961,2251,43
168,-217.02547221297223,640,2252,38
169,-358.36320505943786,437,2252,39
170,-258.4452012040248,599,2253,45
171,-231.88797880863095,256,2286,23
172,-333.56035547196007,283,2250,38
173,-150.45793017611908,657,2274,40
174,-172.52792999982495,441,2292,35
175,-293.8458333333334,401,2252,36
176,-227.12984677412598,607,2292,42
177,-261.1544482337585,411,2252,36
178,-221.33780183008835,616,2268,47
179,-124.67528036126154,668,2281,46
180,-276.59619941462046,348,2250,27
181,-529.3159100329682,525,2288,54
182,-326.0120923520923,388,2253,40
183,-408.8870730992664,757,2253,59
184,-283.781746031746,201,2293,30
185,-285.6652097902098,369,2260,35
186,-355.0465595454087,625,2250,47
187,-404.85126980346786,415,2251,47
188,-225.24453858728208,299,2252,24
189,-279.4994588744588,387,2255,40
190,-361.64200244200237,337,2253,38
191,-501.1801098457312,427,2259,45
192,-293.75253684149567,314,2251,37
193,-287.7947363726083,436,2253,33
194,-246.89719377293807,349,2295,36
195,-90.83012520360941,1292,2251,42
196,-220.5890293667251,347,2251,22
197,-180.24917900812636,626,2300,37
198,-180.6616414887256,1234,2252,51
199,-177.61705274295238,892,2292,56
200,-299.86427796060144,460,2251,39
201,-297.852380952381,166,2280,25
202,-370.22327370696945,393,2255,44
203,-261.0792632546665,360,2254,33
204,-240.90133286647992,434,2253,38
205,-218.5733059599131,556,2280,41
206,-343.70414446664455,325,2252,38
207,-201.27416908719067,668,2251,37
208,-231.90258986508988,345,2254,31
209,-226.15420786815528,782,2254,46
210,-270.91845967153415,386,2286,31
211,-365.25946454821525,795,2253,45
212,-417.21475089238254,235,2259,32
213,-95.27111972666707,2258,2289,87
214,-287.7271806409964,372,2257,44
215,-248.90961438032872,406,2257,54
216,-279.6800440817353,275,2250,30
217,-305.33646034048513,437,2251,38
218,-333.14552546139754,409,2260,37
219,-187.00061043420737,686,2260,42
220,-135.9676022974248,921,2250,55
221,-359.4008319595781,440,2253,46
222,-462.56743746449615,484,2255,40
223,-358.2986516041504,232,2258,29
224,-301.0205823447547,902,2251,43
225,-69.41929301774483,2179,2284,56
226,-343.3602085278556,490,2292,43
227,-298.08491689469946,395,2278,35
228,-111.24147827411204,626,2268,50
229,-264.9729700854701,361,2251,35
230,-234.78875593360888,488,2250,44
231,-340.152765371883,304,2254,30
232,-305.6580233928825,483,2284,43
233,-242.82136761424283,356,2253,32
234,-269.77478077478077,557,2256,39
235,-352.12226030763185,460,2250,41
236,-452.40907148407143,364,2297,55
237,-349.52647907647906,299,2271,34
238,-282.22716059506445,1092,2250,42
239,-261.24844322344325,357,2251,42
240,-371.9916042291042,400,2294,43
241,-283.712739960835,577,2255,28
242,-231.27697197750413,691,2268,55
243,-261.2691794755791,397,2262,36
244,-257.6100033300034,307,2250,30
245,-316.1008636788049,308,2259,34
246,-284.4121346165912,325,2259,36
247,-113.16077085635506,1877,2250,69
248,-289.5427174133057,482,2295,56
249,-195.74037889792692,532,2250,32
250,-287.1827269314743,487,2252,38
251,-228.05576250375015,274,2250,44
252,-434.49515511715174,402,2257,40
253,-244.91960991736642,853,2264,47
254,-276.48135427642745,568,2255,44
255,-392.7206349206349,388,2273,43
256,-256.07936745093053,950,2295,50
257,-278.832919406618,372,2251,33
258,-305.0456893582655,566,2258,58
259,-520.5849425084718,539,2263,61
260,-464.20452880452876,575,2295,48
261,-374.6266466461193,352,2254,46
262,-288.19747013497016,321,2290,31
263,-187.0079806061071,581,2252,25
264,-275.70025497378447,461,2261,41
265,-238.08100802706068,580,2254,46
266,-337.16576564368063,886,2269,71
267,-234.62201602863365,437,2262,31
268,-362.10117981975407,361,2256,32
269,-358.4495094783665,502,2260,41
270,-352.471161490205,240,2292,32
271,-151.03723682979796,655,2265,34
272,-313.9107915777034,505,2251,53
273,-281.5298340531358,476,2251,46
274,-352.14912518037517,406,2292,39
275,-351.2667431177414,256,2254,29
276,-189.75290482548513,1108,2262,52
277,-95.7466596205251,1112,2258,42
278,-383.88207393483714,351,2252,36
279,-143.12004557696253,759,2259,39
280,-291.006513614315,357,2266,35
281,-110.70275996085299,778,2250,33
282,-368.9359487734488,197,2286,28
283,-155.67802229907664,1504,2296,49
284,-282.22506494859425,296,2250,30
285,-73.23098426634948,1332,2264,47
286,-526.1654428904428,317,2294,44
287,-154.42419112842836,1253,2268,57
288,-307.78402014652005,278,2261,38
289,-405.6751443001443,355,2256,45
290,-236.86870950400365,486,2251,42
291,-315.88119103455546,479,2266,38
292,-161.72419958813694,899,2250,47
293,-357.15934852184853,412,2250,43
294,-287.1628222403722,736,2263,43
295,-521.4246386201014,360,2254,36
296,-244.47113858363866,288,2250,33
297,-108.80292481450579,900,2261,36
298,-336.17301365301364,315,2270,37
299,-185.9042914928209,224,2269,19
300,-369.56610297515283,497,2251,40
301,-295.01633283194656,292,2258,26
302,-169.8130070864539,700,2282,35
303,-294.9862394915026,318,2251,40
304,-252.90421245421246,367,2264,34
305,-120.16220037040434,1520,2253,38
306,-310.55937930270113,348,2254,41
307,-222.8946772896037,328,2292,38
308,-176.7654655093261,914,2254,37
309,-287.94946581196587,189,2267,29
310,-275.9850944590696,659,2294,53
311,-160.61700921627389,410,2252,36
312,-116.41206862352279,766,2291,57
313,-386.57097763347764,285,2265,50
314,-217.79320578824414,361,2255,27
315,-174.69878176799378,613,2252,36
316,-305.9088566695869,348,2261,33
317,-522.4034007161542,301,2254,41
318,-209.23226542567977,320,2255,32
319,-269.7737560926015,504,2263,48
320,-351.4709449906819,399,2257,41
321,-233.0728097882509,521,2252,42
322,-279.19553083792215,640,2290,38
323,-248.52225453223917,379,2257,30
324,-309.53629032937846,307,2253,36
325,-268.2311651506389,271,2258,33
326,-467.603416926211,361,2252,38
327,-243.7564602064602,375,2274,32
328,-285.9692718100613,310,2269,29
329,-108.6357068286715,695,2251,25
330,-360.8801975801975,315,2286,40
331,-238.34246194045426,1148,2291,41
332,-134.91941663937934,517,2270,26
333,-509.50287738577214,225,2256,52
334,-201.93345310348406,419,2269,28
335,-287.3688292440722,618,2255,41
336,-167.20750844560055,619,2286,34
337,-122.65218248601558,1109,2283,54
338,-139.0903960771689,1265,2263,40
339,-374.30560278385843,513,2280,43
340,-103.1024344964233,1027,2285,38
341,-257.4723179744232,993,2254,46
342,-375.44541021488794,375,2285,36
343,-434.51551226551226,375,2258,45
344,-280.03050139824336,381,2251,37
345,-187.4480629477092,482,2262,40
346,-258.211554527344,373,2251,44
347,-271.87602200300404,334,2287,39
348,-463.0103257796653,802,2265,40
349,-246.82895951478042,368,2257,30
350,-262.10830518923865,394,2252,38
351,-317.5016706169647,467,2259,44
352,-181.46111403762725,428,2268,41
353,-310.01455103223003,694,2251,39
354,-413.09324326713784,420,2260,35
355,-255.97575806546396,348,2287,28
356,-239.25958273208275,468,2250,37
357,-349.12376250116523,420,2294,52
358,-190.768095118014,500,2265,33
359,-252.60781207097,367,2274,39
360,-378.52375794999637,437,2289,46
361,-243.234420979777,330,2253,32
362,-302.42194060419877,333,2250,38
363,-458.2093773329068,406,2295,42
364,-260.5425497676631,691,2252,43
365,-155.07220501408045,885,2277,30
366,-221.99647527599015,475,2252,40
367,-275.741046290311,368,2253,35
368,-204.3839924701589,456,2289,33
369,-273.52334682861004,324,2251,45
370,-166.7838515444439,934,2258,60
371,-294.178373015873,259,2250,44
372,-240.51581075786956,389,2251,39
373,-391.52104334994357,327,2258,38
374,-272.7368922335834,491,2252,36
375,-221.11539265191644,477,2293,43
376,-527.8384687208217,159,2253,28
377,-196.44727667467853,594,2254,28
378,-438.8997839208365,312,2277,39
379,-368.3124098124098,272,2264,35
380,-263.44785492285496,266,2265,35
381,-330.6188013881332,609,2252,41
382,-131.6024709059423,920,2258,50
383,-144.56699507874316,702,2253,33
384,-412.31067608861724,486,2269,47
385,-196.62155702959703,552,2253,35
386,-421.1552805038099,186,2250,32
387,-358.7709995921954,347,2252,40
388,-322.0034467725257,353,2255,31
389,-166.07747209018788,453,2263,26
390,-286.8465280333701,228,2267,27
391,-234.52563441787206,413,2263,23
392,-190.11485768243728,277,2252,29
393,-478.2255952380952,168,2254,31
394,-247.50715942290898,337,2289,39
395,-370.2613406287555,401,2268,32
396,-220.47112847495958,845,2277,52
397,-493.38059785042543,298,2251,37
398,-284.3212100764732,248,2251,34
399,-200.19544082051195,1009,2250,38
400,-458.26132055079415,722,2274,46
401,-159.496002974582,571,2288,32
402,-232.75802270205415,1026,2256,35
403,-235.4917887667888,319,2252,34
404,-231.3044340463458,443,2256,47
405,-160.9907465852351,389,2254,37
406,-115.5757884507376,1029,2296,33
407,-211.22224502588705,766,2256,51
408,-350.845834924879,346,2283,37
409,-203.07841186077775,546,2250,46
410,-478.6916416916417,238,2250,30
411,-276.17382706699345,469,2276,32
412,-104.90363286269834,1067,2252,47
413,-210.5166799146339,575,2285,35
414,-314.08458760022233,324,2258,38
415,-294.9774587985114,392,2281,31
416,-269.74726693443125,499,2280,34
417,-314.5530133609081,393,2290,38
418,-127.63487224497983,1166,2289,45
419,-276.2407369137346,419,2254,33
420,-252.58100988795817,889,2266,54
421,-298.26556034545166,375,2255,33
422,-403.8971664042298,423,2252,39
423,-310.3786019536019,404,2262,48
424,-321.8540317612835,1053,2296,57
425,-511.1269674769675,607,2261,53
426,-312.8209207342653,555,2258,46
427,-207.2986395101013,592,2266,31
428,-214.04994160652058,391,2250,36
429,-350.08981800042955,667,2294,44
430,-333.7611098091041,512,2258,47
431,-270.6928004068761,738,2250,40
432,-216.37334914442044,297,2262,39
433,-205.60892984208772,333,2266,31
434,-368.47961017740425,390,2250,35
435,-111.05574956676608,985,2250,39
436,-196.436384193149,535,2252,44
437,-310.9419612794613,376,2255,28
438,-239.03553414593665,308,2268,27
439,-165.6327380379592,707,2253,48
440,-266.6965625018256,399,2291,41
441,-326.2557212557222,338,2254,25
442,-190.36150809155106,506,2254,32
443,-375.6121031746033,317,2256,47
444,-282.9893942658649,354,2294,39
445,-222.55675310764832,489,2262,28
446,-174.872518992875,415,2259,30
447,-445.29749694749694,512,2261,52
448,-205.3285701742358,265,2264,29
449,-351.35573986270583,429,2250,53
450,-273.78878205128206,173,2252,21
451,-292.7796448735303,279,2252,30
452,-139.9105753299131,642,2253,40
453,-278.38584699900485,492,2277,44
454,-202.94431558584785,446,2267,42
455,-335.4373665223665,321,2251,46
456,-282.4365489427733,541,2254,45
457,-207.87677169751476,428,2252,34
458,-526.0230627085483,587,2273,39
459,-253.6891783887468,304,2259,37
460,-407.3907927856458,395,2285,36
461,-218.65572383471178,917,2252,44
462,-190.67640019708847,807,2252,43
463,-466.5182247217486,341,2288,43
464,-257.69069069069064,361,2250,47
465,-181.9668858918859,421,2255,33
466,-317.712357967236,341,2255,43
467,-189.3764605129682,903,2254,54
468,-281.1716606768494,402,2257,41
469,-371.1679012005052,448,2250,42
470,-204.17891492752176,393,2250,31
471,-313.1142815904426,386,2250,44
472,-222.5772976127815,377,2290,40
473,-488.4888750138751,311,2288,37
474,-368.64126984126983,145,2257,25
475,-247.43454488837617,388,2269,30
476,-165.3462333223043,333,2253,27
