episode,reward,steps,exploration_reward,decision_count
0,-643.6267260517261,236,2252,56
1,-760.7243770934947,252,2264,66
2,-512.8807692307694,298,2270,71
3,-585.5808008658006,344,2291,81
4,-655.2124320124321,293,2254,68
5,-703.4765873015872,363,2260,74
6,-617.9622100122101,212,2288,47
7,-518.841389166389,225,2252,58
8,-746.287619047619,211,2266,52
9,-610.0492063492064,264,2251,64
10,-826.3725274725277,285,2290,72
11,-543.226050420168,288,2257,70
12,-622.0174951485296,249,2288,62
13,-696.7936782172077,268,2260,63
14,-748.2599206349205,167,2253,48
15,-747.0569444444444,212,2253,60
16,-704.9416971916971,273,2252,62
17,-733.5332159126278,261,2253,73
18,-748.4599906629318,223,2285,61
19,-776.8250997368643,225,2272,52
20,-874.0752747252749,172,2257,52
21,-678.257264957265,267,2296,72
22,-689.5892362281681,300,2262,62
23,-575.229260651629,301,2250,73
24,-601.7945054945055,276,2288,56
25,-620.20376984127,246,2287,54
26,-904.4191758241757,405,2296,92
27,-515.9724610356964,252,2258,54
28,-810.0304634692793,209,2255,56
29,-743.9233974358974,190,2284,55
30,-609.8635642135642,219,2272,56
31,-877.7717532467533,203,2253,54
32,-742.8049145299145,175,2254,51
33,-850.2789682539684,127,2276,44
34,-1079.9231962481963,185,2278,58
35,-537.0599675324676,227,2266,54
36,-525.0325396825396,276,2259,62
37,-806.3050505050506,239,2263,59
38,-725.0406565656566,285,2276,69
39,-768.8992063492062,290,2263,78
40,-851.798431372549,335,2251,70
41,-859.7718073593074,278,2266,70
42,-632.40965978466,206,2270,57
43,-624.8142857142857,259,2252,60
44,-481.7595238095237,229,2253,47
45,-954.9881928528989,203,2265,59
46,-627.8985294117647,239,2286,64
47,-513.1182539682541,240,2258,52
48,-766.8393939393939,176,2267,41
49,-698.0337301587302,269,2294,57
50,-647.8383838383837,298,2251,71
51,-955.5803258145364,230,2272,59
52,-819.6694677871147,167,2292,49
53,-642.9822801759644,261,2261,49
54,-686.4361471861471,185,2251,55
55,-712.72115995116,262,2254,66
56,-600.0935425685425,305,2289,72
57,-757.705578898226,262,2250,76
58,-797.1938958916901,263,2258,73
